47.55836,7.58773,2025-04-14T19:37:38
47.5569,7.58978,2025-04-14T19:38:37
47.55372,7.59196,2025-04-14T19:39:38
47.55331,7.59539,2025-04-14T19:40:37
47.55217,7.59847,2025-04-14T19:41:38
47.55282,7.60457,2025-04-14T19:42:39
47.55129,7.60875,2025-04-14T19:43:36
47.54928,7.60764,2025-04-14T19:44:40
47.54806,7.60953,2025-04-14T19:45:38
47.54697,7.61382,2025-04-14T19:46:39
47.54516,7.61821,2025-04-14T19:47:37
47.54483,7.62223,2025-04-14T19:48:36
47.54077,7.62189,2025-04-14T19:49:40
47.54011,7.62259,2025-04-14T19:50:37
47.53837,7.62594,2025-04-14T19:51:36
47.53522,7.62831,2025-04-14T19:52:37
47.53231,7.63212,2025-04-14T19:53:38
47.53145,7.6362,2025-04-14T19:54:35
47.52977,7.63962,2025-04-14T19:55:36
47.52729,7.64465,2025-04-14T19:56:37
47.52803,7.64853,2025-04-14T19:57:38
47.52707,7.65463,2025-04-14T19:58:35
47.52464,7.66114,2025-04-14T19:59:39
47.52353,7.66718,2025-04-14T20:00:37
47.52303,7.66895,2025-04-14T20:01:35
47.5209,7.67283,2025-04-14T20:02:36
47.51989,7.68002,2025-04-14T20:03:37
47.51866,7.68525,2025-04-14T20:04:35
47.51835,7.69149,2025-04-14T20:05:38
47.51858,7.69742,2025-04-14T20:06:37
47.5199,7.70367,2025-04-14T20:07:36
47.52105,7.70789,2025-04-14T20:08:38
47.52057,7.71179,2025-04-14T20:09:37
47.5171,7.71436,2025-04-14T20:10:36
47.51339,7.71589,2025-04-14T20:11:37
47.50985,7.71711,2025-04-14T20:12:38
47.50618,7.71836,2025-04-14T20:13:37
47.50306,7.7187,2025-04-14T20:14:38
47.49944,7.71886,2025-04-14T20:15:37
47.49591,7.72007,2025-04-14T20:16:38
47.49256,7.72184,2025-04-14T20:17:35
47.4916,7.72518,2025-04-14T20:18:38
47.48846,7.72853,2025-04-14T20:19:35
47.48609,7.73227,2025-04-14T20:20:36
47.4842,7.73502,2025-04-14T20:21:37
47.48386,7.73537,2025-04-14T20:22:41
47.48381,7.73509,2025-04-14T20:23:39
47.48254,7.73661,2025-04-14T20:24:37
47.48068,7.7408,2025-04-14T20:25:38
47.47805,7.74425,2025-04-14T20:26:36
47.47555,7.74485,2025-04-14T20:27:35
